Market_ID,Market_name,population_2019,Population_growth,Income_per_capita
30809,Beaver Inlet,10000,0,10000
30886,Corner Bay,10000,0,10000
30913,Cordova,10000,0,10000
30923,Candle,10000,0,10000
30938,Central,10000,0,10000
30948,Chena Hot Springs,10000,0,10000
30951,Coffee Point,10000,0,10000
30991,Circle Hot Springs,10000,0,10000
30996,Chuathbaluk,10000,0,10000
31007,Chalkyitsik,10000,0,10000
31014,Chomley,10000,0,10000
31021,Crafton Island,10000,0,10000
31028,Crooked Creek,10000,0,10000
31036,Chicken,10000,0,10000
31043,Clear,10000,0,10000
31053,Clarks Point,10000,0,10000
31154,Cape Spencer,10000,0,10000
31158,Cape Sabine,10000,0,10000
31188,Cube Cove,10000,0,10000
31213,Chitina,10000,0,10000
31214,Coldfoot,10000,0,10000
31227,Chifornak,10000,0,10000
31234,Cape Yakataga,10000,0,10000
31238,Copper Center,10000,0,10000
31241,Cape Romanzof,10000,0,10000
31245,Chisana,10000,0,10000
31246,Chistochina,10000,0,10000
31247,Cape Pole,10000,0,10000
31280,Dahl Creek,10000,0,10000
31299,Danger Bay,10000,0,10000
31317,Diomede Island,10000,0,10000
31327,Delta Junction,10000,0,10000
31336,Dillingham,10000,0,10000
31341,Dolomi,10000,0,10000
31353,Duncan Canal,10000,0,10000
31367,Dora Bay,10000,0,10000
31401,Ketchikan,10000,0,10000
31402,Haines,10000,0,10000
31404,Tsui River,10000,0,10000
31406,Platinum,10000,0,10000
31410,Drift River,10000,0,10000
31411,Deering,10000,0,10000
31445,Unalaska,10000,0,10000
31464,Noatak,10000,0,10000
31484,Edna Bay,10000,0,10000
31492,Eek,10000,0,10000
31494,Eight Fathom Bight,10000,0,10000
31501,Chenega,10000,0,10000
31511,Egegik,10000,0,10000
31512,Cape Newenham,10000,0,10000
31513,Eagle Harbor,10000,0,10000
31517,Fairbanks,10000,0,10000
31535,Elim,10000,0,10000
31545,Elfin Cove,10000,0,10000
31546,Ellamar,10000,0,10000
31550,Emmonak,10000,0,10000
31555,Kenai,10000,0,10000
31559,Nenana,10000,0,10000
31606,Eva Creek,10000,0,10000
31619,Excursion Inlet,10000,0,10000
31632,False Island,10000,0,10000
31639,Fairmount Island,10000,0,10000
31674,Fire Cove,10000,0,10000
31696,Falls Bay,10000,0,10000
31702,Flat,10000,0,10000
31708,Five Mile Camp,10000,0,10000
31720,Funter Bay Alaska,10000,0,10000
31722,Fortuna Ledge,10000,0,10000
31734,Patching Lake,10000,0,10000
31738,Annex Creek,10000,0,10000
31739,Davidson Creek,10000,0,10000
31740,Snettisham,10000,0,10000
31741,Fire Island,10000,0,10000
31743,Greens Creek,10000,0,10000
31744,Gull Cove,10000,0,10000
31747,Karta Lake,10000,0,10000
31748,Manzanita Lake,10000,0,10000
31749,Shrimp Bay,10000,0,10000
31750,Dry Bay,10000,0,10000
31751,Josephine Lake,10000,0,10000
31755,Volcano Bay,10000,0,10000
31756,Fort Glenn,10000,0,10000
31757,Babe Islands,10000,0,10000
31758,Kahli Cove,10000,0,10000
31768,Fresh Water Bay,10000,0,10000
31797,Osprey Lodge,10000,0,10000
31813,Donlin Creek Mine,10000,0,10000
31819,Golden Creek Mine,10000,0,10000
31820,Grace Harbor,10000,0,10000
31821,Unuk River,10000,0,10000
31825,Farewell,10000,0,10000
31828,Kaktovik,10000,0,10000
31833,Fort Yukon,10000,0,10000
31844,Galena,10000,0,10000
31845,Gambell,10000,0,10000
31855,Goose Bay,10000,0,10000
31859,Galbraith Lake,10000,0,10000
31873,Golden Horn Lodge,10000,0,10000
31885,Ganes Creek,10000,0,10000
31896,Togiak Fish,10000,0,10000
31924,Gulkana,10000,0,10000
31937,Glennallen,10000,0,10000
31941,Golovin,10000,0,10000
31952,Goodnews Bay,10000,0,10000
31997,Gustavus,10000,0,10000
32074,Haycock,10000,0,10000
32076,Hanus Bay,10000,0,10000
32079,Hobart Bay,10000,0,10000
32084,Hood Bay,10000,0,10000
32086,Shoal Cove,10000,0,10000
32087,Holy Cross,10000,0,10000
32088,Hidden Falls,10000,0,10000
32098,Herendeen,10000,0,10000
32122,Hogatza,10000,0,10000
32141,Healy,10000,0,10000
32165,Homeshore,10000,0,10000
32171,Hoonah,10000,0,10000
32183,Holikachuk,10000,0,10000
32195,Hooper Bay,10000,0,10000
32214,Huslia,10000,0,10000
32248,Hawk Inlet,10000,0,10000
32252,Hydaburg,10000,0,10000
32253,Hollis,10000,0,10000
32268,Kiana,10000,0,10000
32279,Icy Bay,10000,0,10000
32294,Igiugig,10000,0,10000
32315,Nikolski,10000,0,10000
32321,Iliamna,10000,0,10000
32370,Circle,10000,0,10000
32387,Isabel Pass,10000,0,10000
32509,Cooper Lodge,10000,0,10000
32591,Hog River,10000,0,10000
32610,Kake,10000,0,10000
32615,Kaltag,10000,0,10000
32621,Birch Creek,10000,0,10000
32622,Bell Island,10000,0,10000
32624,Klag Bay,10000,0,10000
32631,Chignik,10000,0,10000
32633,Coffman Cove,10000,0,10000
32639,Chernofski,10000,0,10000
32642,Colorado Creek,10000,0,10000
32649,Nanwalek,10000,0,10000
32653,Ekwok,10000,0,10000
32663,False Pass,10000,0,10000
32671,Koliganek,10000,0,10000
32676,Grayling,10000,0,10000
32677,Glacier Creek,10000,0,10000
32686,Ivanof Bay,10000,0,10000
32704,Koyuk,10000,0,10000
32705,Kitoi Bay,10000,0,10000
32708,Kongiganak,10000,0,10000
32709,Akiachak,10000,0,10000
32711,Kalakaket,10000,0,10000
32712,Karluk Lake,10000,0,10000
